"","inspection_id","license_","facility_type","risk","inspection_date","inspection_type","results","criticalCount","seriousCount","minorCount","pastFail","pastCritical","pastSerious","pastMinor","timeSinceLast","firstRecord","pass_flag"
"49538","1285731","1594714","Restaurant","Risk 2 (Medium)",2012-10-05,"Canvass","Pass",0,0,4,0,0,0,2,1.01917808219178,0,1
"79826","659899","1594765","Restaurant","Risk 1 (High)",2012-01-06,"Canvass","Pass",0,0,4,0,0,0,3,0.701369863013699,0,1
"50853","1084352","1594765","Restaurant","Risk 1 (High)",2012-08-17,"Canvass","Pass",0,0,3,0,0,0,4,0.610958904109589,0,1
"62102","1326591","1594765","Restaurant","Risk 1 (High)",2013-03-27,"Canvass","Pass",0,0,4,0,0,0,3,0.608219178082192,0,1
"74002","1313298","1594780","Restaurant","Risk 1 (High)",2012-12-05,"Canvass","Pass",0,0,4,0,0,0,1,2,0,1
"48824","1300398","1594852","Restaurant","Risk 1 (High)",2012-11-08,"Canvass","Fail",0,1,4,0,0,1,0,1.8,0,0
"12335","1361241","1594852","Restaurant","Risk 1 (High)",2013-07-24,"Canvass","Pass",0,0,5,0,0,1,4,0.673972602739726,0,1
"32768","1202822","1594881","Restaurant","Risk 1 (High)",2013-06-25,"Canvass","Fail",0,1,6,0,0,0,4,2,0,0
"25055","1096444","1594913","Restaurant","Risk 1 (High)",2012-08-14,"Canvass","Fail",0,1,2,0,0,0,0,2,1,0
"5258","1184239","1595203","Restaurant","Risk 1 (High)",2012-04-05,"Canvass","Pass",0,0,5,0,0,0,3,1.11506849315068,0,1
"37660","1324350","1595203","Restaurant","Risk 1 (High)",2013-03-11,"Canvass","Pass",0,0,4,0,0,0,5,0.931506849315068,0,1
"82608","1321807","1595244","Other","Risk 1 (High)",2013-02-11,"Canvass","Pass",0,0,1,0,0,0,2,0.391780821917808,0,1
"2588","1092523","1595334","Restaurant","Risk 2 (Medium)",2013-08-01,"Canvass","Pass",0,0,2,0,0,0,0,2,1,1
"44236","1285331","1595358","Restaurant","Risk 2 (Medium)",2012-09-18,"Canvass","Pass",0,0,6,0,0,0,4,1.33972602739726,0,1
"59044","1202594","1595358","Restaurant","Risk 2 (Medium)",2013-01-04,"Canvass","Pass",0,0,6,0,0,0,6,0.295890410958904,0,1
"76788","1324576","1595394","Restaurant","Risk 1 (High)",2013-07-26,"Canvass","Pass w/ Conditions",1,0,4,0,0,0,6,1.92602739726027,0,0
"30725","1198752","1595410","Restaurant","Risk 1 (High)",2013-03-15,"Canvass","Pass",0,0,8,0,0,1,7,2,0,1
"5568","614480","1595448","Restaurant","Risk 2 (Medium)",2011-09-15,"Canvass","Pass w/ Conditions",2,0,1,0,0,0,2,1.09041095890411,0,0
"71408","1114325","1595448","Restaurant","Risk 2 (Medium)",2012-06-12,"Canvass","Pass w/ Conditions",0,1,4,0,2,0,1,0.742465753424657,0,0
"79814","659565","15956","Restaurant","Risk 2 (Medium)",2011-12-02,"Canvass","Pass",0,0,3,0,0,0,3,1.19178082191781,0,1
"14050","1150986","15956","Restaurant","Risk 2 (Medium)",2012-12-06,"Canvass","Pass",0,0,2,0,0,0,3,1.01369863013699,0,1
"31659","659439","1595608","Restaurant","Risk 2 (Medium)",2011-11-22,"Canvass","Pass w/ Conditions",0,2,5,0,0,0,0,2,1,0
"35756","1214858","1595608","Restaurant","Risk 2 (Medium)",2012-05-14,"Canvass","Fail",0,1,5,0,0,2,5,0.473972602739726,0,0
"61979","1335604","1595608","Restaurant","Risk 2 (Medium)",2013-05-17,"Canvass","Pass w/ Conditions",0,1,2,0,0,1,5,0.989041095890411,0,0
"17265","1184261","1595661","Restaurant","Risk 1 (High)",2012-04-13,"Canvass","Pass",0,0,4,0,0,1,3,0.594520547945205,0,1
"74141","1324483","1595661","Restaurant","Risk 1 (High)",2013-05-23,"Canvass","Pass",0,0,5,0,0,0,4,0.389041095890411,0,1
"12885","1072512","1595681","Grocery Store","Risk 2 (Medium)",2013-08-26,"Canvass","Pass w/ Conditions",0,2,2,0,0,1,6,1.69315068493151,0,0
